start_ip,end_ip,join_key,asn,domain,name,type,country
2603:f082:4000::,2603:f082:7fff:ffff:ffff:ffff:ffff:ffff,2603:f082:4000::,AS397165,digitalworkspaces.com,EpicUp Holdings Inc,business,US
2620:40:6000::,2620:40:6000:ffff:ffff:ffff:ffff:ffff,2620:40:4000::,AS30405,caiu.org,Capital Area Intermediate Unit,business,US
240e:49c:4000::,240e:49c:7fff:ffff:ffff:ffff:ffff:ffff,240e:49c:4000::,AS4134,chinatelecom.com.cn,CHINANET-BACKBONE,isp,CN
69.63.26.0,69.63.31.255,69.63.0.0,AS5056,aureon.com,Aureon Network Services,isp,US
2800:2cd8:c000::,2800:2cd8:ffff:ffff:ffff:ffff:ffff:ffff,2800:2cd8:c000::,AS7303,telecom.com.ar,Telecom Argentina S.A.,isp,AR
45.167.96.0,45.167.97.255,45.167.0.0,AS267998,playnetelecom.com.br,ASA GROUP MONITORAMENTO E SERVIÇOS DE TELECOM,isp,BR
80.250.32.0,80.250.43.255,80.250.0.0,AS29286,eutelsat.com,SKYLOGIC S.P.A.,isp,IT
240d:4254:c000::,240d:4254:ffff:ffff:ffff:ffff:ffff:ffff,240d:4254:c000::,AS133111,cernet.com,"CERNET New Technology Co., Ltd",business,CN
194.15.88.0,194.15.95.255,194.15.0.0,AS60774,takenet.de,TakeNet GmbH,business,DE
2a0d:6182::,2a0d:6182:3fff:ffff:ffff:ffff:ffff:ffff,2a0d:6182::,AS200899,interspace.com,INTERSPACE DOOEL Skopje,hosting,MK
147.185.90.0,147.185.91.255,147.185.0.0,AS399115,aopinc.com,AOP,business,US
2409:8b5e::,2409:8b5e:3fff:ffff:ffff:ffff:ffff:ffff,2409:8b5e::,AS9808,10086.cn,"China Mobile Communications Group Co., Ltd.",isp,CN
240a:a9b9::,240a:a9b9:3fff:ffff:ffff:ffff:ffff:ffff,240a:a9b9::,AS4538,cernet.edu.cn,China Education and Research Network Center,education,CN
37.157.48.0,37.157.55.255,37.157.0.0,AS31472,voicehost.co.uk,VoiceHost Ltd,hosting,GB
2a06:bdc0:4000::,2a06:bdc0:7fff:ffff:ffff:ffff:ffff:ffff,2a06:bdc0:4000::,AS62240,clouvider.com,Clouvider,hosting,GB
2607:140:c000::,2607:140:ffff:ffff:ffff:ffff:ffff:ffff,2607:140:c000::,AS16391,celito.net,Celito Communications Inc.,hosting,US
146.197.198.0,146.197.199.255,146.197.0.0,AS54535,nike.com,"Nike, Inc.",business,US
202.38.121.0,202.38.127.255,202.38.0.0,AS4538,cernet.edu.cn,China Education and Research Network Center,education,CN
2a10:4346:c000::,2a10:4346:ffff:ffff:ffff:ffff:ffff:ffff,2a10:4346:c000::,AS59441,hostiran.net,Hostiran Network,hosting,IR
2603:f4d8:4000::,2603:f4d8:7fff:ffff:ffff:ffff:ffff:ffff,2603:f4d8:4000::,AS397165,digitalworkspaces.com,EpicUp Holdings Inc,business,US
2607:5040:4000::,2607:5040:7fff:ffff:ffff:ffff:ffff:ffff,2607:5040:4000::,AS397903,,Springcom,business,US
2403:8dc0:8000::,2403:8dc0:bfff:ffff:ffff:ffff:ffff:ffff,2403:8dc0:8000::,AS133648,conexiaworld.com,Gtpl Broadband Pvt. Ltd.,isp,IN
2603:fcad:c000::,2603:fcad:ffff:ffff:ffff:ffff:ffff:ffff,2603:fcad:c000::,AS397165,digitalworkspaces.com,EpicUp Holdings Inc,business,US
2603:f746:8000::,2603:f746:bfff:ffff:ffff:ffff:ffff:ffff,2603:f746:8000::,AS397165,digitalworkspaces.com,EpicUp Holdings Inc,business,US
2a09:fb04:c000::,2a09:fb04:ffff:ffff:ffff:ffff:ffff:ffff,2a09:fb04:c000::,AS209830,provinzial.de,Provinzial Versicherung Aktiengesellschaft,business,DE
159.77.82.0,159.77.83.255,159.77.0.0,AS721,mail.mil,DoD Network Information Center,business,US
2409:86dc:4000::,2409:86dc:7fff:ffff:ffff:ffff:ffff:ffff,2409:86dc:4000::,AS9808,10086.cn,"China Mobile Communications Group Co., Ltd.",isp,CN
203.17.179.0,203.17.179.255,203.17.0.0,AS7575,aarnet.edu.au,Australian Academic and Research Network (AARNet),education,AU
240a:c814:c000::,240a:c814:ffff:ffff:ffff:ffff:ffff:ffff,240a:c814:c000::,AS137726,pcitc.com,China Petroleum & Chemical Corporation,business,CN
58.180.23.0,58.180.60.255,58.180.0.0,AS4670,shinbiro.com,Shinbiro,isp,KR
2a02:a60:4000::,2a02:a60:7fff:ffff:ffff:ffff:ffff:ffff,2a02:a60:4000::,AS8648,dogado.de,dogado GmbH,hosting,DE
240d:40e1:8000::,240d:40e1:bfff:ffff:ffff:ffff:ffff:ffff,240d:40e1:8000::,AS133111,cernet.com,"CERNET New Technology Co., Ltd",business,CN
2601:c002:8000::,2601:c002:bfff:ffff:ffff:ffff:ffff:ffff,2601:c002:8000::,AS10835,vcn.com,"Visionary Communications, Inc.",isp,US
2001:b735:4000::,2001:b735:7fff:ffff:ffff:ffff:ffff:ffff,2001:b735:4000::,AS3462,hinet.net,Data Communication Business Group,isp,TW
203.12.160.0,203.12.167.255,203.12.0.0,AS7545,tpgtelecom.com.au,TPG Telecom Limited,isp,AU
2a01:1296:8000::,2a01:1296:bfff:ffff:ffff:ffff:ffff:ffff,2a01:1296:8000::,AS5617,orange.pl,Orange Polska Spolka Akcyjna,isp,PL
2a10:fe41:c000::,2a10:fe41:ffff:ffff:ffff:ffff:ffff:ffff,2a10:fe41:c000::,AS202360,theglobalfund.org,"The Global Fund to fight AIDS, Tuberculosis and Malaria. Established as a Swiss Foundation with recognition as an International Organization",business,CH
184.105.85.0,184.105.85.255,184.105.0.0,AS63186,calloneonline.com,Call One Inc.,business,US
2804:60a8:4000::,2804:60a8:7fff:ffff:ffff:ffff:ffff:ffff,2804:60a8:4000::,AS269182,plugartelecom.com,PLUGAR TELECOM,isp,BR
2800:2a76:8000::,2800:2a76:bfff:ffff:ffff:ffff:ffff:ffff,2800:2a76:8000::,AS7303,telecom.com.ar,Telecom Argentina S.A.,isp,AR
2400:2dbe:4000::,2400:2dbe:7fff:ffff:ffff:ffff:ffff:ffff,2400:2dbe:4000::,AS17676,softbank.jp,SoftBank Corp.,isp,JP
2a0c:3dc2:c000::,2a0c:3dc2:ffff:ffff:ffff:ffff:ffff:ffff,2a0c:3dc2:c000::,AS61323,ans.co.uk,ANS ACADEMY LIMITED,hosting,GB
2001:dc8:9000::,2001:dc8:9000:ffff:ffff:ffff:ffff:ffff,2001:dc8:8000::,AS131415,vnnic.vn,Vietnam Internet network information center (VNNIC),business,VN
2601:7c5::,2601:7c5:3fff:ffff:ffff:ffff:ffff:ffff,2601:7c5::,AS7922,comcast.com,"Comcast Cable Communications, LLC",isp,US
240a:e47a:8000::,240a:e47a:bfff:ffff:ffff:ffff:ffff:ffff,240a:e47a:8000::,AS148000,dns.nic.in,1.10.10.10 - Indian Public DNS,business,IN
2a10:ab02:c000::,2a10:ab02:ffff:ffff:ffff:ffff:ffff:ffff,2a10:ab02:c000::,AS47285,ptp.pm,Patron Technology Persia Ltd,business,IR
240e:13:8000::,240e:13:bfff:ffff:ffff:ffff:ffff:ffff,240e:13:8000::,AS4134,chinatelecom.com.cn,CHINANET-BACKBONE,isp,CN
77.35.66.0,77.35.74.255,77.35.0.0,AS12332,rostelecom.ru,PJSC Rostelecom,isp,RU
2a01:1614:c000::,2a01:1614:ffff:ffff:ffff:ffff:ffff:ffff,2a01:1614:c000::,AS5617,orange.pl,Orange Polska Spolka Akcyjna,isp,PL
135.129.240.0,135.129.240.255,135.129.0.0,AS14593,spacex.com,Space Exploration Technologies Corporation,isp,US
2a07:9286:4000::,2a07:9286:7fff:ffff:ffff:ffff:ffff:ffff,2a07:9286:4000::,AS202759,rjnet.ee,RJ Network OU,hosting,EE
186.148.64.0,186.148.79.255,186.148.0.0,AS22080,bbt.com.ar,Broadbandtech S. A.,isp,AR
110.17.0.0,110.17.170.255,110.17.0.0,AS4837,chinaunicom.cn,CHINA UNICOM China169 Backbone,isp,CN
